"profile","scenario","epoch","sample","firstEpoch","startedUtc","iterations","checksum","milliseconds","nanosecondsPerCycle","allocatedBytes","allocatedBytesPerCycle","intCalls","stringCalls","runtime","pointerBytes"
"net10","scalar","candidate","0","candidate","2026-09-24T18:03:17.9392697Z","10000000","460000000","61,2814","6,12814","240000000","24","0","0","10.0.9","8"
"net10","scalar","erased","0","candidate","2026-09-24T18:03:18.0933425Z","10000000","460000000","125,5706","12,55706","720000000","72","0","0","10.0.9","8"
"net10","scalar","erased","1","erased","2026-09-24T18:03:18.2998789Z","10000000","460000000","125,1839","12,51839","720000000","72","0","0","10.0.9","8"
"net10","scalar","candidate","1","erased","2026-09-24T18:03:18.5039271Z","10000000","460000000","62,2722","6,22722","240000000","24","0","0","10.0.9","8"
"net10","scalar","candidate","2","candidate","2026-09-24T18:03:18.6376082Z","10000000","460000000","62,7318","6,27318","240000000","24","0","0","10.0.9","8"
"net10","scalar","erased","2","candidate","2026-09-24T18:03:18.7734151Z","10000000","460000000","124,7617","12,47617","720000000","72","0","0","10.0.9","8"
"net10","scalar","erased","3","erased","2026-09-24T18:03:18.9765763Z","10000000","460000000","130,8025","13,080250000000001","720000000","72","0","0","10.0.9","8"
"net10","scalar","candidate","3","erased","2026-09-24T18:03:19.1920766Z","10000000","460000000","59,8111","5,98111","240000000","24","0","0","10.0.9","8"
"net10","scalar","candidate","4","candidate","2026-09-24T18:03:19.3222287Z","10000000","460000000","59,7511","5,97511","240000000","24","0","0","10.0.9","8"
"net10","scalar","erased","4","candidate","2026-09-24T18:03:19.4543024Z","10000000","460000000","125,269","12,5269","720000000","72","0","0","10.0.9","8"
"net10","scalar","erased","5","erased","2026-09-24T18:03:19.6574000Z","10000000","460000000","126,2438","12,62438","720000000","72","0","0","10.0.9","8"
"net10","scalar","candidate","5","erased","2026-09-24T18:03:19.8608470Z","10000000","460000000","59,6373","5,96373","240000000","24","0","0","10.0.9","8"
"net10","scalar","candidate","6","candidate","2026-09-24T18:03:19.9927298Z","10000000","460000000","61,8673","6,18673","240000000","24","0","0","10.0.9","8"
"net10","scalar","erased","6","candidate","2026-09-24T18:03:20.1272947Z","10000000","460000000","128,4365","12,84365","720000000","72","0","0","10.0.9","8"
"net10","broad","candidate","0","candidate","2026-09-24T18:03:20.3353638Z","10000000","1510000000","107,1053","10,71053","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","erased","0","candidate","2026-09-24T18:03:20.5256203Z","10000000","1510000000","165,1284","16,51284","720000000","72","20000000","10000000","10.0.9","8"
"net10","broad","erased","1","erased","2026-09-24T18:03:20.7764499Z","10000000","1510000000","177,967","17,7967","720000000","72","20000000","10000000","10.0.9","8"
"net10","broad","candidate","1","erased","2026-09-24T18:03:21.0403655Z","10000000","1510000000","107,0136","10,70136","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","candidate","2","candidate","2026-09-24T18:03:21.2252034Z","10000000","1510000000","107,1553","10,71553","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","erased","2","candidate","2026-09-24T18:03:21.4103275Z","10000000","1510000000","164,4623","16,44623","720000000","72","20000000","10000000","10.0.9","8"
"net10","broad","erased","3","erased","2026-09-24T18:03:21.6594975Z","10000000","1510000000","165,1681","16,51681","720000000","72","20000000","10000000","10.0.9","8"
"net10","broad","candidate","3","erased","2026-09-24T18:03:21.9069857Z","10000000","1510000000","111,1743","11,11743","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","candidate","4","candidate","2026-09-24T18:03:22.0953748Z","10000000","1510000000","107,6364","10,76364","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","erased","4","candidate","2026-09-24T18:03:22.2814898Z","10000000","1510000000","164,3246","16,43246","720000000","72","20000000","10000000","10.0.9","8"
"net10","broad","erased","5","erased","2026-09-24T18:03:22.5299171Z","10000000","1510000000","166,3213","16,63213","720000000","72","20000000","10000000","10.0.9","8"
"net10","broad","candidate","5","erased","2026-09-24T18:03:22.7831645Z","10000000","1510000000","108,6735","10,86735","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","candidate","6","candidate","2026-09-24T18:03:22.9698253Z","10000000","1510000000","108,877","10,8877","240000000","24","20000000","10000000","10.0.9","8"
"net10","broad","erased","6","candidate","2026-09-24T18:03:23.1570301Z","10000000","1510000000","164,9831","16,49831","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","candidate","0","candidate","2026-09-24T18:03:23.4050551Z","10000000","1510000000","107,9666","10,79666","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","erased","0","candidate","2026-09-24T18:03:23.5956022Z","10000000","1510000000","162,3329","16,23329","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","erased","1","erased","2026-09-24T18:03:23.8448020Z","10000000","1510000000","169,9569","16,99569","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","candidate","1","erased","2026-09-24T18:03:24.0991795Z","10000000","1510000000","107,3418","10,73418","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","candidate","2","candidate","2026-09-24T18:03:24.2922465Z","10000000","1510000000","108,762","10,8762","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","erased","2","candidate","2026-09-24T18:03:24.4784646Z","10000000","1510000000","164,4069","16,44069","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","erased","3","erased","2026-09-24T18:03:24.7342717Z","10000000","1510000000","164,6787","16,46787","720000000","72","20000000","10000000","10.0.9","8"
"net10","nested","candidate","3","erased","2026-09-24T18:03:24.9828492Z","10000000","1510000000","108,0463","10,80463","240000000","24","20000000","10000000","10.0.9","8"
"net10","nested","candidate","4","candidate","2026-09-24T18:03:25.1700212Z","10000000","1510000000","108,5535","10,85535","240000000","24","20000000","10000000","10.0.9","8"
