"profile","scenario","epoch","samples","minNsPerCycle","medianNsPerCycle","maxNsPerCycle","allocationBytesPerCycle","label"
"net10","broad","candidate","7","10,70136","10,76364","11,11743","24","exploratory-overlap-only"
"net10","broad","erased","7","16,43246","16,51284","17,7967","72","exploratory-overlap-only"
"net10","nested","candidate","7","10,73418","10,80463","10,88189","24","exploratory-overlap-only"
"net10","nested","erased","7","16,23329","16,44069","16,99569","72","exploratory-overlap-only"
"net10","scalar","candidate","7","5,96373","6,12814","6,27318","24","exploratory-overlap-only"
"net10","scalar","erased","7","12,47617","12,55706","13,08025","72","exploratory-overlap-only"
"net48","broad","candidate","7","129,23017","130,77147","133,31419","24","exploratory-overlap-only"
"net48","broad","erased","7","25,31378","25,88419","28,3499","72","exploratory-overlap-only"
"net48","nested","candidate","7","132,15527","134,5556","136,58102","24","exploratory-overlap-only"
"net48","nested","erased","7","24,92013","27,25754","28,32366","72","exploratory-overlap-only"
"net48","scalar","candidate","7","3,44751","3,65434","3,94698","24","exploratory-overlap-only"
"net48","scalar","erased","7","10,22502","10,98168","11,45406","72","exploratory-overlap-only"
